SUPERSEDED 2026-09-16 by per-route-gaps-full.txt in this directory. This file DOES carry both clocks per line (handled and input); what it omits is the ARM_DELAY_MS threshold, the per-route crossing counts, and the full per-run sequences. Read alone it invites the conclusion that croc-bite failed a gate; it did not - inputGapsOverArmDelay was 0 on every route in every run, which only the full file shows. Use per-route-gaps-full.txt.
play-exit GAPS pinocchio-luck: largest pointerup->pointerdown gap: handled 125.5ms, input 82.4ms
play-exit GAPS power-meter: largest pointerup->pointerdown gap: handled 132.3ms, input 80.9ms
play-exit GAPS short-stick: largest pointerup->pointerdown gap: handled 105ms, input 80.8ms
play-exit GAPS timebomb: largest pointerup->pointerdown gap: handled 92.5ms, input 80.8ms
play-exit GAPS wire-snip-panic: largest pointerup->pointerdown gap: handled 101.3ms, input 81.6ms
play-exit GAPS zero-trigger: largest pointerup->pointerdown gap: handled 103ms, input 83ms
=== run 34803799092 ===
play-exit GAPS bangkok-drift: largest pointerup->pointerdown gap: handled 90.5ms, input 82.2ms
play-exit GAPS cannon-flag: largest pointerup->pointerdown gap: handled 87.6ms, input 81.4ms
play-exit GAPS croc-bite: largest pointerup->pointerdown gap: handled 960.1ms, input 84.3ms
play-exit GAPS cursed-number: largest pointerup->pointerdown gap: handled 106.5ms, input 81ms
play-exit GAPS dice-loser: largest pointerup->pointerdown gap: handled 81ms, input 80.9ms
play-exit GAPS freeze-tap: largest pointerup->pointerdown gap: handled 90.3ms, input 82.5ms
play-exit GAPS how-close-is-near: largest pointerup->pointerdown gap: handled 114.5ms, input 82.9ms
play-exit GAPS one-bomb: largest pointerup->pointerdown gap: handled 380.4ms, input 92.4ms
play-exit GAPS pinocchio-luck: largest pointerup->pointerdown gap: handled 162.8ms, input 82.8ms
play-exit GAPS power-meter: largest pointerup->pointerdown gap: handled 166.9ms, input 82.7ms
play-exit GAPS short-stick: largest pointerup->pointerdown gap: handled 121.5ms, input 81.3ms
play-exit GAPS timebomb: largest pointerup->pointerdown gap: handled 94.1ms, input 81.1ms
play-exit GAPS wire-snip-panic: largest pointerup->pointerdown gap: handled 100.5ms, input 82.9ms
play-exit GAPS zero-trigger: largest pointerup->pointerdown gap: handled 118.3ms, input 81.4ms
